epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,412.407,1.33065,1.93275,0.5485,1.18939,0,0.98272,0.99145,0.98905,0.63486,0.96722,0.97531,0.98246,0.5562,1.30922,1.99586,0.49966,1.24727,0,0.0012278,0.0012278,0.0012278
41,421.779,1.34762,1.95439,0.55384,1.20674,0,0.98681,0.99439,0.99304,0.63274,0.96793,0.97453,0.98282,0.55059,1.30528,1.98276,0.50013,1.23856,0,0.001208,0.001208,0.001208
42,431.168,1.34959,1.93923,0.5554,1.2031,0,0.98961,0.9948,0.9927,0.62656,0.97373,0.97626,0.98607,0.54293,1.33174,1.98246,0.50372,1.26718,0,0.0011882,0.0011882,0.0011882
43,440.625,1.318,1.95198,0.5464,1.1694,0,0.98895,0.9924,0.9918,0.63598,0.97772,0.98101,0.98603,0.55389,1.29021,1.97128,0.49497,1.2331,0,0.0011684,0.0011684,0.0011684
44,450.445,1.33222,1.93088,0.54136,1.18256,0,0.99053,0.99304,0.99142,0.63445,0.97441,0.97635,0.98225,0.55064,1.30677,1.9691,0.49621,1.2451,0,0.0011486,0.0011486,0.0011486
45,460.276,1.33222,1.92617,0.54391,1.18255,0,0.98841,0.99335,0.99181,0.62807,0.97283,0.97246,0.98078,0.55576,1.35669,1.97964,0.5063,1.27287,0,0.0011288,0.0011288,0.0011288
46,469.904,1.34155,1.97481,0.55359,1.17385,0,0.99017,0.9962,0.99219,0.63557,0.97317,0.97911,0.98587,0.55455,1.31676,1.96246,0.48495,1.25388,0,0.001109,0.001109,0.001109
47,479.733,1.3208,1.95179,0.54069,1.17685,0,0.99038,0.9962,0.99359,0.63162,0.97433,0.98006,0.98608,0.55274,1.30975,1.96274,0.50077,1.24476,0,0.0010892,0.0010892,0.0010892
48,489.761,1.32253,1.93652,0.54713,1.17585,0,0.98863,0.99078,0.9918,0.63188,0.97252,0.97467,0.98388,0.54957,1.31333,1.96571,0.4943,1.25358,0,0.0010694,0.0010694,0.0010694
49,499.473,1.31895,1.92648,0.53603,1.17439,0,0.98908,0.99525,0.99434,0.63648,0.97542,0.97993,0.98449,0.55291,1.30501,1.94389,0.48131,1.24783,0,0.0010496,0.0010496,0.0010496
