epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,517.462,1.32929,1.92897,0.55108,1.18966,0,0.17891,0.61538,0.23564,0.15431,0.17731,0.60989,0.23098,0.12617,1.30186,2.28409,4.97205,1.25837,0,0.001208,0.001208,0.001208
42,529.916,1.32861,1.93602,0.55197,1.18004,0,0.23447,0.62637,0.26075,0.16419,0.22977,0.63736,0.25437,0.13564,1.37937,2.50387,5.11049,1.31378,0,0.0011882,0.0011882,0.0011882
43,542.139,1.33163,1.93235,0.55154,1.18691,0,0.16667,0.70879,0.24274,0.15667,0.16538,0.7033,0.2399,0.12628,1.37341,2.43251,5.49204,1.28995,0,0.0011684,0.0011684,0.0011684
44,554.44,1.33483,1.9132,0.54626,1.19453,0,0.16901,0.69231,0.20847,0.13803,0.16901,0.69231,0.20847,0.11287,1.33922,2.39603,4.86447,1.27489,0,0.0011486,0.0011486,0.0011486
45,566.836,1.30896,1.92366,0.54201,1.17682,0,0.17928,0.63736,0.21492,0.1409,0.17774,0.63187,0.21226,0.11162,1.3192,2.46996,5.19217,1.26865,0,0.0011288,0.0011288,0.0011288
46,579.013,1.30544,1.92383,0.54251,1.17356,0,0.16659,0.68132,0.20632,0.13594,0.16524,0.67582,0.20477,0.11008,1.34343,2.40906,5.20166,1.28788,0,0.001109,0.001109,0.001109
47,591.17,1.32589,1.93117,0.54135,1.18941,0,0.26627,0.65934,0.26607,0.16902,0.25644,0.65385,0.26088,0.13539,1.38907,2.41508,5.1747,1.2999,0,0.0010892,0.0010892,0.0010892
48,603.525,1.314,1.90589,0.54231,1.17471,0,0.22427,0.63858,0.27939,0.18167,0.22234,0.63308,0.27458,0.14534,1.33075,2.39672,5.31061,1.27377,0,0.0010694,0.0010694,0.0010694
49,615.708,1.33171,1.92234,0.54074,1.18754,0,0.1766,0.65385,0.23183,0.15045,0.17211,0.65934,0.22636,0.1221,1.37704,2.3894,5.57885,1.30285,0,0.0010496,0.0010496,0.0010496
50,627.851,1.31524,1.90644,0.54361,1.18115,0,0.20275,0.72527,0.26419,0.17483,0.20121,0.71978,0.26064,0.14202,1.32509,2.34248,4.78867,1.26559,0,0.0010298,0.0010298,0.0010298
51,640.128,1.30395,1.90517,0.53243,1.1631,0,0.21706,0.66484,0.2467,0.1586,0.21526,0.65934,0.24249,0.13271,1.39928,2.36908,5.21238,1.30515,0,0.00101,0.00101,0.00101
52,652.754,1.30278,1.89796,0.5365,1.17219,0,0.21728,0.64835,0.24897,0.16139,0.21544,0.64286,0.24442,0.12738,1.31816,2.42001,5.45039,1.26057,0,0.0009902,0.0009902,0.0009902
